31-03-2026 19:48:01 | DELETE | cafeteria-api/produtos/37
31-03-2026 19:48:02 | GET | cafeteria-api/produtos
31-03-2026 19:48:26 | GET | cafeteria-api/produtos
31-03-2026 19:48:27 | GET | cafeteria-api/produtos
31-03-2026 19:48:27 | GET | cafeteria-api/produtos
31-03-2026 19:48:37 | GET | cafeteria-api/produtos
31-03-2026 19:48:37 | GET | cafeteria-api/produtos
31-03-2026 19:48:42 | GET | cafeteria-api/produtos
31-03-2026 19:49:23 | GET | cafeteria-api/produtos
31-03-2026 19:49:24 | GET | cafeteria-api/produtos
31-03-2026 19:49:24 | GET | cafeteria-api/produtos
31-03-2026 19:49:24 | GET | cafeteria-api/produtos
31-03-2026 19:49:25 | GET | cafeteria-api/produtos
31-03-2026 19:50:11 | POST | cafeteria-api/produtos
31-03-2026 19:50:57 | GET | cafeteria-api/produtos
31-03-2026 19:50:58 | GET | cafeteria-api/produtos
31-03-2026 19:50:59 | GET | cafeteria-api/produtos
31-03-2026 19:50:59 | GET | cafeteria-api/produtos
31-03-2026 19:53:41 | POST | cafeteria-api/produtos
31-03-2026 19:53:59 | GET | cafeteria-api/produtos
31-03-2026 19:54:04 | GET | cafeteria-api/produtos
31-03-2026 19:54:27 | POST | cafeteria-api/produtos/40
31-03-2026 19:54:37 | DELETE | cafeteria-api/produtos/40
31-03-2026 19:54:43 | GET | cafeteria-api/produtos
31-03-2026 19:54:54 | GET | cafeteria-api/produtos/40
31-03-2026 19:58:29 | GET | cafeteria-api/produtos
31-03-2026 19:58:29 | GET | cafeteria-api/produtos
31-03-2026 19:58:32 | GET | cafeteria-api/produtos
31-03-2026 19:58:32 | GET | cafeteria-api/produtos
31-03-2026 19:58:35 | GET | cafeteria-api/produtos
31-03-2026 19:58:35 | GET | cafeteria-api/produtos
31-03-2026 19:58:37 | GET | cafeteria-api/produtos
31-03-2026 19:58:37 | GET | cafeteria-api/produtos
31-03-2026 20:01:34 | GET | cafeteria-api/produtos
31-03-2026 20:01:34 | GET | cafeteria-api/produtos
31-03-2026 20:01:41 | GET | cafeteria-api/produtos
31-03-2026 20:01:41 | GET | cafeteria-api/produtos
31-03-2026 20:04:12 | GET | cafeteria-api/produtos
31-03-2026 20:04:13 | GET | cafeteria-api/produtos
31-03-2026 20:05:15 | GET | cafeteria-api/produtos
31-03-2026 20:05:15 | GET | cafeteria-api/produtos
31-03-2026 20:05:33 | GET | cafeteria-api/produtos
31-03-2026 20:05:33 | GET | cafeteria-api/produtos
31-03-2026 20:05:35 | GET | cafeteria-api/produtos
31-03-2026 20:05:35 | GET | cafeteria-api/produtos
31-03-2026 20:05:39 | GET | cafeteria-api/produtos
31-03-2026 20:05:39 | GET | cafeteria-api/produtos
31-03-2026 20:05:41 | GET | cafeteria-api/produtos
31-03-2026 20:05:41 | GET | cafeteria-api/produtos
31-03-2026 20:05:42 | GET | cafeteria-api/produtos
31-03-2026 20:05:43 | GET | cafeteria-api/produtos
31-03-2026 20:05:46 | GET | cafeteria-api/produtos
31-03-2026 20:05:46 | GET | cafeteria-api/produtos
31-03-2026 20:05:48 | GET | cafeteria-api/produtos
31-03-2026 20:05:48 | GET | cafeteria-api/produtos
31-03-2026 20:05:55 | GET | cafeteria-api/produtos
31-03-2026 20:05:55 | GET | cafeteria-api/produtos
31-03-2026 20:06:10 | POST | cafeteria-api/produtos
31-03-2026 20:06:10 | GET | cafeteria-api/produtos
31-03-2026 20:06:15 | OPTIONS | cafeteria-api/produtos/42
31-03-2026 20:06:15 | DELETE | cafeteria-api/produtos/42
31-03-2026 20:06:15 | GET | cafeteria-api/produtos
31-03-2026 20:08:16 | GET | cafeteria-api/produtos
31-03-2026 20:08:37 | POST | cafeteria-api/produtos
31-03-2026 20:08:37 | GET | cafeteria-api/produtos
31-03-2026 20:09:44 | GET | cafeteria-api/produtos
31-03-2026 20:09:50 | GET | cafeteria-api/produtos
31-03-2026 20:10:08 | POST | cafeteria-api/produtos
31-03-2026 20:10:14 | GET | cafeteria-api/produtos
31-03-2026 20:10:22 | GET | cafeteria-api/produtos
31-03-2026 20:10:22 | GET | cafeteria-api/produtos
31-03-2026 20:10:25 | OPTIONS | cafeteria-api/produtos/44
31-03-2026 20:10:25 | DELETE | cafeteria-api/produtos/44
31-03-2026 20:10:25 | GET | cafeteria-api/produtos
31-03-2026 20:10:28 | OPTIONS | cafeteria-api/produtos/43
31-03-2026 20:10:28 | DELETE | cafeteria-api/produtos/43
31-03-2026 20:10:28 | GET | cafeteria-api/produtos
31-03-2026 20:12:43 | POST | cafeteria-api/produtos
31-03-2026 20:12:43 | GET | cafeteria-api/produtos
31-03-2026 20:12:48 | POST | cafeteria-api/produtos
31-03-2026 20:12:48 | GET | cafeteria-api/produtos
31-03-2026 20:12:52 | OPTIONS | cafeteria-api/produtos/45
31-03-2026 20:12:52 | DELETE | cafeteria-api/produtos/45
31-03-2026 20:12:52 | GET | cafeteria-api/produtos
31-03-2026 20:13:08 | POST | cafeteria-api/produtos
31-03-2026 20:13:08 | GET | cafeteria-api/produtos
31-03-2026 20:13:13 | OPTIONS | cafeteria-api/produtos/46
31-03-2026 20:13:13 | DELETE | cafeteria-api/produtos/46
31-03-2026 20:13:13 | GET | cafeteria-api/produtos
31-03-2026 20:13:14 | OPTIONS | cafeteria-api/produtos/41
31-03-2026 20:13:14 | DELETE | cafeteria-api/produtos/41
31-03-2026 20:13:14 | GET | cafeteria-api/produtos
31-03-2026 20:49:23 | GET | cafeteria-api/produtos
31-03-2026 20:49:23 | GET | cafeteria-api/produtos
31-03-2026 20:49:24 | GET | cafeteria-api/produtos
31-03-2026 20:49:40 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:49:40 | POST | cafeteria-api/produtos
31-03-2026 20:49:40 | GET | cafeteria-api/produtos
31-03-2026 20:53:08 | OPTIONS | cafeteria-api/produtos/47
31-03-2026 20:53:08 | DELETE | cafeteria-api/produtos/47
31-03-2026 20:53:08 | GET | cafeteria-api/produtos
07-04-2026 13:01:37 | GET | cafeteria-api/categorias
07-04-2026 13:01:42 | GET | cafeteria-api/produtos
07-04-2026 13:01:44 | GET | cafeteria-api/produtos
07-04-2026 13:01:44 | GET | cafeteria-api/categorias
07-04-2026 13:01:48 | POST | cafeteria-api/categorias
07-04-2026 13:01:49 | GET | cafeteria-api/produtos
07-04-2026 13:01:54 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:01:54 | POST | cafeteria-api/produtos
07-04-2026 13:02:13 | GET | cafeteria-api/produtos
07-04-2026 13:02:13 | GET | cafeteria-api/produtos
07-04-2026 13:02:13 | GET | cafeteria-api/produtos
07-04-2026 13:02:16 | GET | cafeteria-api/categorias
07-04-2026 13:02:20 | GET | cafeteria-api/produtos
07-04-2026 13:02:21 | GET | cafeteria-api/produtos
07-04-2026 13:02:21 | GET | cafeteria-api/produtos
07-04-2026 13:02:23 | GET | cafeteria-api/categorias
07-04-2026 13:02:23 | GET | cafeteria-api/produtos
07-04-2026 13:02:24 | GET | cafeteria-api/categorias
07-04-2026 13:03:14 | GET | cafeteria-api/produtos
07-04-2026 13:03:14 | GET | cafeteria-api/categorias
07-04-2026 13:03:15 | GET | cafeteria-api/produtos
07-04-2026 13:03:41 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:03:41 | POST | cafeteria-api/produtos
07-04-2026 13:03:41 | GET | cafeteria-api/produtos
07-04-2026 13:03:56 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:03:56 | POST | cafeteria-api/produtos
07-04-2026 13:03:56 | GET | cafeteria-api/produtos
07-04-2026 13:04:04 | OPTIONS | cafeteria-api/produtos/49
