2026-04-10 16:20:17 | OPTIONS | meus-planos-api/itens/4
2026-04-10 16:20:17 | PUT | meus-planos-api/itens/4
2026-04-10 16:20:37 | GET | meus-planos-api/categorias
2026-04-10 16:20:37 | GET | meus-planos-api/itens
2026-04-10 16:20:57 | GET | meus-planos-api/categorias
2026-04-10 16:20:57 | GET | meus-planos-api/itens
2026-04-10 16:20:59 | GET | meus-planos-api/categorias
2026-04-10 16:20:59 | GET | meus-planos-api/itens
2026-04-10 16:21:05 | GET | meus-planos-api/categorias
2026-04-10 16:21:05 | GET | meus-planos-api/itens
2026-04-10 16:21:07 | GET | meus-planos-api/categorias
2026-04-10 16:21:07 | GET | meus-planos-api/itens
2026-04-10 16:21:13 | GET | meus-planos-api/categorias
2026-04-10 16:21:13 | GET | meus-planos-api/itens
2026-04-10 16:21:20 | GET | meus-planos-api/categorias
2026-04-10 16:21:20 | GET | meus-planos-api/itens
2026-04-10 16:21:26 | GET | meus-planos-api/categorias
2026-04-10 16:21:26 | GET | meus-planos-api/itens
2026-04-10 16:23:53 | GET | meus-planos-api/categorias
2026-04-10 16:23:53 | GET | meus-planos-api/itens
2026-04-10 16:23:55 | GET | meus-planos-api/categorias
2026-04-10 16:23:55 | GET | meus-planos-api/categorias
2026-04-10 16:23:55 | GET | meus-planos-api/itens
2026-04-10 16:24:35 | GET | meus-planos-api/categorias
2026-04-10 16:24:35 | GET | meus-planos-api/itens
2026-04-10 16:24:36 | GET | meus-planos-api/categorias
2026-04-10 16:25:29 | GET | meus-planos-api/categorias
2026-04-10 16:25:29 | GET | meus-planos-api/itens
2026-04-10 16:25:32 | GET | meus-planos-api/categorias
2026-04-10 16:25:41 | POST | meus-planos-api/categorias
2026-04-10 16:25:41 | GET | meus-planos-api/categorias
2026-04-10 16:25:43 | GET | meus-planos-api/categorias
2026-04-10 16:25:43 | GET | meus-planos-api/itens
2026-04-10 16:26:50 | OPTIONS | meus-planos-api/itens
2026-04-10 16:26:50 | POST | meus-planos-api/itens
2026-04-10 16:26:50 | GET | meus-planos-api/itens
2026-04-10 16:26:52 | GET | meus-planos-api/categorias
2026-04-10 16:26:52 | GET | meus-planos-api/itens
2026-04-10 16:26:52 | GET | meus-planos-api/categorias
2026-04-10 16:26:52 | GET | meus-planos-api/itens
2026-04-10 16:26:58 | OPTIONS | meus-planos-api/itens/5
2026-04-10 16:26:58 | PUT | meus-planos-api/itens/5
2026-04-10 16:28:31 | GET | meus-planos-api/categorias
2026-04-10 16:28:31 | GET | meus-planos-api/itens
2026-04-10 16:28:34 | GET | meus-planos-api/categorias
2026-04-10 16:28:34 | GET | meus-planos-api/itens
2026-04-10 16:28:36 | GET | meus-planos-api/categorias
2026-04-10 16:28:36 | GET | meus-planos-api/itens
2026-04-10 16:33:01 | GET | meus-planos-api/categorias
2026-04-10 16:33:01 | GET | meus-planos-api/categorias
2026-04-10 16:33:01 | GET | meus-planos-api/itens
2026-04-10 16:33:02 | GET | meus-planos-api/categorias
2026-04-10 16:33:02 | GET | meus-planos-api/categorias
2026-04-10 16:33:03 | GET | meus-planos-api/categorias
2026-04-10 16:33:03 | GET | meus-planos-api/itens
